Year,word,word_type,relative_usage
1973,geek,group 2,40.73289957
1973,dork,group 2,34.95007422
1974,idiot,group 1,57.60402567
1974,moron,group 1,9.888248344
1974,nimrod,group 1,32.50772599
1974,nerd,group 2,23.66342925
1974,geek,group 2,42.9679824
1974,dork,group 2,33.36858836
1975,idiot,group 1,56.58900076
1975,moron,group 1,9.748181215
1975,nimrod,group 1,33.66281802
1975,nerd,group 2,23.87638743
1975,geek,group 2,44.11630233
1975,dork,group 2,32.00731024
1976,idiot,group 1,54.6958129
1976,moron,group 1,9.385674808
1976,nimrod,group 1,35.91851229
1976,nerd,group 2,24.37974872
1976,geek,group 2,44.35331675
1976,dork,group 2,31.26693452
1977,idiot,group 1,55.8972635
1977,moron,group 1,9.405179361
1977,nimrod,group 1,34.69755714
1977,nerd,group 2,24.96824119
1977,geek,group 2,44.77223134
1977,dork,group 2,30.25952746
1978,idiot,group 1,55.59930555
1978,moron,group 1,9.306342308
1978,nimrod,group 1,35.09435214
1978,nerd,group 2,26.37633685
1978,geek,group 2,44.40467386
1978,dork,group 2,29.21898929
1979,idiot,group 1,56.94597541
1979,moron,group 1,9.206344295
1979,nimrod,group 1,33.8476803
1979,nerd,group 2,29.25548226
1979,geek,group 2,42.33794576
1979,dork,group 2,28.40657199
1980,idiot,group 1,58.6966368
1980,moron,group 1,9.114913053
1980,nimrod,group 1,32.18845014
1980,nerd,group 2,33.10661215
1980,geek,group 2,40.60414144
1980,dork,group 2,26.28924641
1981,idiot,group 1,62.16381679
1981,moron,group 1,9.248834994
1981,nimrod,group 1,28.58734821
1981,nerd,group 2,37.91355128
1981,geek,group 2,36.50296164
1981,dork,group 2,25.58348709
1982,idiot,group 1,63.2552322
1982,moron,group 1,9.186347559
1982,nimrod,group 1,27.55842024
1982,nerd,group 2,42.39555013
1982,geek,group 2,32.94523036
1982,dork,group 2,24.65921951
1983,idiot,group 1,65.05373931
1983,moron,group 1,9.333476521
1983,nimrod,group 1,25.61278417
1983,nerd,group 2,45.57028356
1983,geek,group 2,32.38046238
1983,dork,group 2,22.04925406
1984,idiot,group 1,66.15176612
